"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REPS1",2688.3411082991,-0.33919752770856,0.052600534619776,-6.44855665746473,1.12920350030239e-10,1.27764476622541e-09
"KNTC1",2648.36824395605,0.617974037330235,0.0958555736506554,6.44692858009942,1.1413953955554e-10,1.29077264530929e-09
"CFAP44",124.204845275128,1.23715654222058,0.191951296834428,6.44515855127419,1.15479629567064e-10,1.30525350137592e-09
"PRPS2",2709.2372747115,0.366677329979319,0.0569012291835639,6.44410209129954,1.16286792325891e-10,1.31369890969502e-09
"APOL1",172.066742146422,-1.15925188409227,0.179936956918296,-6.44254467757088,1.17486762906197e-10,1.32657089765992e-09
"DHRS13",273.437229469268,0.751420750663161,0.116656040414369,6.44133598220953,1.18426383514655e-10,1.33649146362108e-09
"CDCA4",3396.72818254393,0.34923816241692,0.054232483679544,6.43964905757488,1.19750061829066e-10,1.35073383334999e-09
"GIT2",1917.85145868039,0.373415711438059,0.0580054635281902,6.43759550781939,1.21380947179174e-10,1.36842493461647e-09
"TTC9C",592.324946372729,-0.504609208718642,0.0784164147295957,-6.43499464313298,1.23477684942001e-10,1.39134706206509e-09
"ERCC3",2365.06753252608,0.341581622491264,0.0531293864075113,6.42924087003896,1.28242775710887e-10,1.44395237393065e-09
"NEPRO",2191.73718501347,-0.371105703853768,0.0577219187520419,-6.42919902659403,1.28278078962294e-10,1.44395237393065e-09
"SKA3",1412.19031091103,0.538076315006007,0.0836975103341056,6.42882103491612,1.28597420734635e-10,1.44680354452602e-09
"MYB",49.0109805924827,1.91963175832295,0.298670537672169,6.42725517315672,1.29928617002443e-10,1.46102995659061e-09
"CRYBG2",455.66029130035,0.697188996953669,0.108492694669033,6.42613771443793,1.30886835066158e-10,1.47104983177229e-09
"NDUFB6",1739.51268117111,0.416714948124834,0.0648639589414624,6.42444517610937,1.32351349270046e-10,1.48674682346684e-09
"HIBCH",983.029792909693,0.516276307459091,0.0803670783972579,6.42397755094586,1.3275879024355e-10,1.4905593543234e-09
"ZNF425",99.9121081595243,-1.12811644189599,0.175780941539034,-6.41774035352678,1.38311887283695e-10,1.55211162446176e-09
"HSPA2",66.6357507965245,1.70975055841434,0.26668059411225,6.41122974885333,1.44350464878566e-10,1.6190460487276e-09
"ZNF619",406.096945280276,-0.674283131785291,0.105199220339962,-6.40958297605514,1.45918215146759e-10,1.63579247839804e-09
"BAHD1",1228.61442754609,0.526734443308744,0.0821804339866819,6.40948724357073,1.46009863776075e-10,1.63598264246288e-09
"METTL6",733.468900749533,-0.449355754693199,0.0701972558384934,-6.40132935861562,1.54029897829325e-10,1.72496161142708e-09
"FKBP14",1915.82915894185,0.743957032068042,0.116293293743244,6.3972479248079,1.58202346203975e-10,1.77078303198675e-09
"IL18R1",224.784352716651,-0.763474114426501,0.119377826603936,-6.39544324223215,1.60082298132831e-10,1.79091049060248e-09
"NEDD4L",5207.04219698355,0.388112426252225,0.060687433485022,6.39526841002451,1.60265577789368e-10,1.79187366005569e-09
"PLA2G15",684.8399756262,0.512804383009357,0.0801857602519823,6.39520510122842,1.60331996060678e-10,1.79187366005569e-09
"FAM133A",42.4106215452631,7.77690928405933,1.21610353343521,6.39494012659542,1.60610277181661e-10,1.79406839452539e-09
"DKK3",5059.8080996466,-0.375099278863709,0.0586719608758137,-6.39316077500209,1.62491248282818e-10,1.8141543290699e-09
"THG1L",1104.29243786052,-0.450319394112788,0.0704411068627154,-6.39284949043216,1.62822515330762e-10,1.81692674392274e-09
